"objectid";"id_operacion";"id";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"árearegistralm2";"coeficiente";"área coefieciente";"count"
1638347;"1798451R1374";1374;"095-48637";;"157590101000005110001000000000";Desenglobe_Division_Material;"095-161772";Privado_Privado;PH_Unidad_Predial;"58.25";14.76;58.25;1
1638345;"1798451R1375";1375;"095-48637";;"157590101000005110001000000000";Desenglobe_Division_Material;"095-161773";Privado_Privado;PH_Unidad_Predial;"17.57";4.45;17.57;1
1638337;"1799008R1578";1578;"095-30490";;"157590101000005310009000000000";Desenglobe_Division_Material;"095-161894";Privado_Privado;PH_Unidad_Predial;"214.92";62.6;214.92;1
1638336;"1799008R1579";1579;"095-30490";;"157590101000005310009000000000";Desenglobe_Division_Material;"095-161902";Privado_Privado;PH_Unidad_Predial;"21.71";6.25;21.71;1
1638335;"1799008R1580";1580;"095-30490";;"157590101000005310009000000000";Desenglobe_Division_Material;"095-161903";Privado_Privado;PH_Unidad_Predial;"21.35";4.6;21.35;1
1638334;"1799008R1581";1581;"095-30490";;"157590101000005310009000000000";Desenglobe_Division_Material;"095-161904";Privado_Privado;PH_Unidad_Predial;"60.62";13.08;60.62;1
1638333;"1799008R1577";1577;"095-30490";;"157590101000005310009000000000";Desenglobe_Division_Material;"095-161905";Privado_Privado;PH_Unidad_Predial;"62.42";13.47;62.42;1
1638352;"1798451R1376";1376;"095-48637";;"157590101000005110001000000000";Desenglobe_Division_Material;"095-161937";Privado_Privado;PH_Unidad_Predial;"25.85";6.55;25.85;1
1638351;"1798451R1377";1377;"095-48637";;"157590101000005110001000000000";Desenglobe_Division_Material;"095-161938";Privado_Privado;PH_Unidad_Predial;"23.02";5.83;23.02;1
1638350;"1798451R1378";1378;"095-48637";;"157590101000005110001000000000";Desenglobe_Division_Material;"095-161939";Privado_Privado;PH_Unidad_Predial;"71.49";15.1;71.49;1
1638349;"1798451R1379";1379;"095-48637";;"157590101000005110001000000000";Desenglobe_Division_Material;"095-161940";Privado_Privado;PH_Unidad_Predial;"56.9";12.02;56.9;1
1638348;"1798451R1380";1380;"095-48637";;"157590101000005110001000000000";Desenglobe_Division_Material;"095-161941";Privado_Privado;PH_Unidad_Predial;"71.49";15.1;71.49;1
